route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"88A",11367_13,11367_17034,"DW. ŁÓDŹ FABRYCZNA",,1,88   /02,2418642,0,0
"88C",11367_13,11367_17035,"SKOSZEWY PRZEZ BORCHÓWKA",,0,88   /01,2418649,0,0
"88C",11367_13,11367_17036,"DW. ŁÓDŹ FABRYCZNA PRZEZ BORCHÓWKA",,1,88   /01,2418650,0,0
"88C",11367_13,11367_17037,"SKOSZEWY PRZEZ BORCHÓWKA",,0,88   /01,2418649,0,0
"88C",11367_13,11367_17038,"DW. ŁÓDŹ FABRYCZNA PRZEZ BORCHÓWKA",,1,88   /01,2418650,0,0
"88C",11367_13,11367_17039,"SKOSZEWY PRZEZ BORCHÓWKA",,0,88   /02,2418649,0,0
"18",11367_11,11367_1704,"RETKINIA",,0,18   /06,2418135,0,0
"88C",11367_13,11367_17040,"DW. ŁÓDŹ FABRYCZNA PRZEZ BORCHÓWKA",,1,88   /02,2418650,0,0
"88C",11367_13,11367_17041,"SKOSZEWY PRZEZ BORCHÓWKA",,0,88   /02,2418649,0,0
"88C",11367_13,11367_17042,"DW. ŁÓDŹ FABRYCZNA PRZEZ BORCHÓWKA",,1,88   /02,2418650,0,0
"88C",11367_13,11367_17043,"SKOSZEWY PRZEZ BORCHÓWKA",,0,88   /02,2418649,0,0
"88C",11367_13,11367_17044,"DW. ŁÓDŹ FABRYCZNA PRZEZ BORCHÓWKA",,1,88   /02,2418650,0,0
"88C",11367_13,11367_17045,"SKOSZEWY PRZEZ BORCHÓWKA",,0,88   /02,2418649,0,0
"88C",11367_13,11367_17046,"DW. ŁÓDŹ FABRYCZNA PRZEZ BORCHÓWKA",,1,88   /02,2418650,0,0
"88D",11367_13,11367_17047,"DW. ŁÓDŹ FABRYCZNA",,0,88   /01,2418652,0,0
"88D",11367_13,11367_17048,"KALONKA CENTRUM OJCA PIO",,0,88   /01,2418654,0,0
"88D",11367_13,11367_17049,"DW. ŁÓDŹ FABRYCZNA",,1,88   /01,2418655,0,0
"18",11367_11,11367_1705,"TELEFONICZNA ZAJEZDNIA",,1,18   /06,2418136,0,0
"88D",11367_13,11367_17050,"KALONKA CENTRUM OJCA PIO",,0,88   /02,2418654,0,0
"88D",11367_13,11367_17051,"DW. ŁÓDŹ FABRYCZNA",,1,88   /02,2418655,0,0
"88D",11367_13,11367_17052,"KALONKA CENTRUM OJCA PIO",,0,88   /02,2418654,0,0
"88D",11367_13,11367_17053,"DW. ŁÓDŹ FABRYCZNA",,1,88   /02,2418655,0,0
"88D",11367_13,11367_17054,"KALONKA CENTRUM OJCA PIO",,0,88   /02,2418654,0,0
"88D",11367_13,11367_17055,"DW. ŁÓDŹ FABRYCZNA",,1,88   /02,2418655,0,0
"88D",11367_13,11367_17056,"KALONKA CENTRUM OJCA PIO",,0,88   /02,2418654,0,0
"88D",11367_13,11367_17058,"88D ZJAZD DO LIMANOWSKIEGO",,1,88   /02,2418656,0,0
"89",11367_13,11367_17059,"PL. SŁONECZNY",,0,89   /01,2418277,0,0
"18",11367_11,11367_1706,"RETKINIA",,0,18   /06,2418135,0,0
"89",11367_13,11367_17061,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17062,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17063,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17064,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17065,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17066,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17067,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17068,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17069,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17070,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17071,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17072,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17073,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17074,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17075,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17076,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17077,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17078,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
